fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2025-03-31,2025-04-29,-0.49,0.4751,-0.9651,-203.1362
2024-12-31,2025-02-19,1.03,0.9394,0.0906,9.6445
2024-09-30,2024-10-30,0.45,0.53,-0.08,-15.0943
2024-06-30,2024-07-31,0.41,0.45,-0.04,-8.8889
2024-03-31,2024-05-01,0.48,0.49,-0.01,-2.0408
2023-12-31,2024-02-21,0.62,0.77,-0.15,-19.4805
2023-09-30,2023-11-01,0.66,0.51,0.15,29.4118
2023-06-30,2023-08-02,0.44,0.43,0.01,2.3256
2023-03-31,2023-05-03,0.53,0.55,-0.02,-3.6364
2022-12-31,2023-02-22,0.77,0.8,-0.03,-3.75
2022-09-30,2022-11-02,-7.62,0.37,-7.99,-2159.4595
2022-06-30,2022-07-27,0.51,0.31,0.2,64.5161
2022-03-31,2022-05-04,0.6,0.6,0,0
2021-12-31,2022-02-24,1.11,0.79,0.32,40.5063
2021-09-30,2021-11-03,0.62,0.54,0.08,14.8148
2021-06-30,2021-08-04,0.68,0.63,0.05,7.9365
2021-03-31,2021-05-05,1,0.88,0.12,13.6364
2020-12-31,2021-02-25,1.08,0.59,0.49,83.0508
2020-09-30,2020-10-28,0.76,0.6,0.16,26.6667
2020-06-30,2020-08-05,0.75,0.39,0.36,92.3077
2020-03-31,2020-05-06,0.1,0.19,-0.09,-47.3684
2019-12-31,2020-02-26,0.25,0.16,0.09,56.25
2019-09-30,2019-10-30,0.12,0.12,0,0
2019-06-30,2019-08-01,0.15,0.13,0.02,15.3846
2019-03-31,2019-05-08,0.24,0.14,0.1,71.4286
2018-12-31,2019-02-25,0.32,0.21,0.11,52.381
2018-09-30,2018-11-06,0.15,0.07,0.08,114.2857
2018-06-30,2018-08-06,0.03,0.04,-0.01,-25
2018-03-31,2018-05-08,0.1,0.06,0.04,66.6667
2017-12-31,2018-02-27,0.17,0.09,0.08,88.8889
2017-09-30,2017-11-06,0.21,0.06,0.15,250
2017-06-30,2017-08-03,0.1,-0.03,0.13,433.3333
2017-03-31,2017-05-02,0.0386,0.01,0.0286,286
2016-12-31,2017-02-28,-0.19,0.02,-0.21,-1050
2016-09-30,2016-11-01,-0.02,-0.02,0,0
2016-06-30,2016-08-02,-0.06,-0.01,-0.05,-500
2016-03-31,2016-05-03,0.01,-0.02,0.03,150
2015-12-31,2016-02-23,-0.04,-0.01,-0.03,-300
2015-09-30,2015-11-03,-0.03,-0.06,0.03,50
2015-06-30,2015-08-04,-0.07,-0.08,0.01,12.5
2015-03-31,2015-05-19,-0.12,0.03,-0.15,-500
