fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage
2025-06-30,2025-07-17,7.19,7.07,0.12,1.6973
2025-03-31,2025-04-17,6.61,5.66,0.95,16.7845
2024-12-31,2025-01-21,4.27,4.2,0.07,1.6667
2024-09-30,2024-10-17,5.4,5.12,0.28,5.4688
2024-06-30,2024-07-18,4.88,4.74,0.14,2.9536
2024-03-31,2024-04-18,5.28,4.52,0.76,16.8142
2023-12-31,2024-01-23,2.11,2.22,-0.11,-4.955
2023-09-30,2023-10-18,3.73,3.49,0.24,6.8768
2023-06-30,2023-07-19,3.29,2.85,0.44,15.4386
2023-03-31,2023-04-18,2.88,2.87,0.01,0.3484
2022-12-31,2023-01-19,0.12,0.48,-0.36,-75
2022-09-30,2022-10-18,3.1,2.13,0.97,45.5399
2022-06-30,2022-07-19,3.2,2.93,0.27,9.215
2022-03-31,2022-04-19,3.53,2.91,0.62,21.3058
2021-12-31,2022-01-20,1.33,0.83,0.5,60.241
2021-09-30,2021-10-19,3.19,2.56,0.63,24.6094
2021-06-30,2021-07-20,2.97,3.16,-0.19,-6.0127
2021-03-31,2021-04-20,3.75,2.97,0.78,26.2626
2020-12-31,2021-01-19,1.19,1.39,-0.2,-14.3885
2020-09-30,2020-10-20,1.74,2.13,-0.39,-18.3099
2020-06-30,2020-07-16,1.59,1.81,-0.22,-12.1547
2020-03-31,2020-04-21,1.57,1.64,-0.07,-4.2683
2019-12-31,2020-01-21,1.3,0.53,0.77,145.283
2019-09-30,2019-10-16,1.47,1.05,0.42,40
2019-06-30,2019-07-17,0.6,0.56,0.04,7.1429
2019-03-31,2019-04-16,0.76,0.57,0.19,33.3333
2018-12-31,2019-01-17,0.3,0.24,0.06,25
2018-09-30,2018-10-16,0.89,0.68,0.21,30.8824
2018-06-30,2018-07-16,0.85,0.79,0.06,7.5949
2018-03-31,2018-04-16,0.64,0.63,0.01,1.5873
2017-12-31,2018-01-22,0.41,0.41,0,0
2017-09-30,2017-10-16,0.29,0.32,-0.03,-9.375
2017-06-30,2017-07-17,0.15,0.16,-0.01,-6.25
2017-03-31,2017-04-17,0.4,0.37,0.03,8.1081
2016-12-31,2017-01-18,0.15,0.13,0.02,15.3846
2016-09-30,2016-10-17,0.12,0.05,0.07,140
2016-06-30,2016-07-18,0.09,0.02,0.07,350
2016-03-31,2016-04-18,0.06,0.04,0.02,50
2015-12-31,2016-01-19,0.1,0.02,0.08,400
2015-09-30,2015-10-14,0.07,0.07,0,0
2015-06-30,2015-07-15,0.06,0.04,0.02,50
2015-03-31,2015-04-15,0.05,0.09,-0.04,-44.4444
2014-12-31,2015-01-20,0.19,0.06,0.13,216.6667
2014-09-30,2014-10-15,0.14,0.13,0.01,7.6923
2014-06-30,2014-07-21,0.16,0.16,0,0
2014-03-31,2014-04-21,0.12,0.12,0,0
2013-12-31,2014-01-22,0.11,0.09,0.02,22.2222
2013-09-30,2013-10-21,0.07,0.07,0,0
2013-06-30,2013-07-22,0.07,0.06,0.01,16.6667
2013-03-31,2013-04-22,0.01,0.03,-0.02,-66.6667
2012-12-31,2013-01-23,0.02,-0.02,0.04,200
2012-09-30,2012-10-23,0.02,0.01,0.01,100
2012-06-30,2012-07-24,0.02,0.01,0.01,100
2012-03-31,2012-04-23,-0.01,-0.04,0.03,75
2011-12-31,2012-01-25,0.1,0.08,0.02,25
2011-09-30,2011-10-24,0.17,0.13,0.04,30.7692
2011-06-30,2011-07-25,0.18,0.16,0.02,12.5
2011-03-31,2011-04-25,0.16,0.15,0.01,6.6667
2010-12-31,2011-01-26,0.12,0.1,0.02,20
2010-09-30,2010-10-20,0.1,0.1,0,0
2010-06-30,2010-07-21,0.11,0.1,0.01,10
2010-03-31,2010-04-21,0.08,0.08,0,0
2009-12-31,2010-01-27,0.08,0.06,0.02,33.3333
2009-09-30,2009-10-22,0.07,0.06,0.01,16.6667
2009-06-30,2009-07-23,0.08,0.07,0.01,14.2857
2009-03-31,2009-04-23,0.05,0.04,0.01,25
2008-12-31,2009-01-26,0.05,0.05,0,0
2008-09-30,2008-10-20,0.05,0.04,0.01,25
2008-06-30,2008-07-25,0.06,0.06,0,0
2008-03-31,2008-04-21,0.03,0.03,0,0
2007-12-31,2008-01-23,0.03,0.02,0.01,50
