fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,prev_quarter_EPS,estimatedEPS_change,estimatedEPS_pct_change,as_of,garch_vol,e_garch_vol,call_delta,put_delta,call_gamma,put_gamma,call_vega,put_vega,call_theta,put_theta,call_rho,put_rho,atm_iv,iv_garch_spread,surprise_norm,garch_vol_lag1,atm_iv_lag1,iv_garch_spread_lag1,atm_iv estimatedEPS,garch_vol_roll5_mean,garch_vol_roll5_std,garch_vol_roll10_mean,garch_vol_roll10_std,atm_iv_roll5_mean,atm_iv_roll5_std,atm_iv_roll10_mean,atm_iv_roll10_std,iv_garch_spread_roll5_mean,iv_garch_spread_roll5_std,iv_garch_spread_roll10_mean,iv_garch_spread_roll10_std,strike,call_ask,put_ask,straddle_cost,underlying,underlying_t1,abs_move,return,breakeven_pct,realized_vol
2010-09-30,2010-10-18,0.165,0.145,0.02,13.7931,,,,2010-10-17,0.2817463185451771,0.1532495206122995,,,,,,,,,,,,,0.13793103448275865,,,,,,,,,,,,,,,,,240.0,108.45,0.01,10846.0,11.373929023742676,10.473281860351562,22952.671813964844,1.1162338017669964,9.535842871323847,1.3095894200624598
2010-12-31,2011-01-18,0.23,0.1925,0.0375,19.4805,0.165,0.027499999999999997,0.16666666666666663,2011-01-17,0.19543947163404068,0.17580440345110013,,,,,,,,,,,,,0.1948051948051948,0.2817463185451771,,,,,,,,,,,,,,,,290.0,48.15,0.15,4830.0,11.768570899963379,10.540005683898926,27945.999431610107,4.785921207372693,4.104151677426721,1.750234540968367
2011-03-31,2011-04-20,0.2275,0.1925,0.035,18.1818,0.23,-0.037500000000000006,-0.1630434782608696,2011-04-19,0.22597734646797046,0.2568680370283682,0.98426,-0.01574,0.00162,0.00162,0.00987,0.00987,-0.24172,-0.24084,0.01559,-0.0003,0.97583,0.7498526535320296,0.18181818181818182,0.19543947163404068,,,0.187847275,0.2343877122157294,0.04376378234275339,,,,,,,,,,,290.0,48.15,0.15,4830.0,12.268214225769043,10.540005683898926,27945.999431610107,4.785921207372693,3.9370033088065246,2.41028408835583
2011-06-30,2011-07-19,0.2775,0.2075,0.07,33.7349,0.2275,-0.020000000000000018,-0.08791208791208799,2011-07-18,0.22205034698067583,0.19712004559183705,0.98148,-0.00543,0.00112,0.00047,0.01775,0.00609,-0.22994,-0.06384,0.03209,-0.00023,1.03437,0.8123196530193242,0.3373493975903615,0.22597734646797046,0.97583,0.7498526535320296,0.214631775,0.231303370906966,0.03626152793983874,,,,,,,,,,,300.0,74.55,0.08,7463.0,13.5,11.8203125,28817.96875,2.861445631783465,5.528148148148148,2.109249599854343
2011-09-30,2011-10-18,0.2525,0.265,-0.0125,-4.717,0.2775,-0.012500000000000011,-0.045045045045045085,2011-10-17,0.31913281070224697,0.24876652191546003,1.0,-0.00032,0.0,1e-05,0.0,0.00057,-0.00032,-0.01402,0.0226,-2e-05,0.01976,-0.29937281070224697,-0.04716981132075472,0.22205034698067583,1.03437,0.8123196530193242,0.0052364,0.24886925886602224,0.0502889242810915,0.24886925886602224,0.0502889242810915,0.6766533333333333,0.5696388078715612,,,0.42093316528303565,0.624584706654205,,,165.0,256.78,0.04,25682.0,15.062856674194336,12.195084571838379,15280.491542816162,-0.40501162125939716,17.049886721685645,3.3526789801112606
2011-12-31,2012-01-24,0.495,0.3625,0.1325,36.5517,0.2525,0.10999999999999999,0.4356435643564356,2012-01-23,0.20430343476696614,0.21389220105452672,0.96453,-0.02894,0.00224,0.00199,0.03496,0.02955,-0.342,-0.27389,0.03883,-0.0014,0.78071,0.5764065652330339,0.36551724137931035,0.31913281070224697,0.01976,-0.29937281070224697,0.283007375,0.23338068211038002,0.04955208168256309,0.24144162151617954,0.04852009381569817,0.7026675,0.46800911147647545,,,0.45980151527053514,0.5158620924050819,,,370.0,58.35,0.38,5873.0,15.182143211364746,13.442633628845215,35655.73663711548,5.0711283223421555,3.8683602955370007,1.9317478776761323
2012-03-31,2012-04-24,0.44,0.3575,0.0825,23.0769,0.495,-0.1375,-0.2777777777777778,2012-04-23,0.453305959496327,0.4565190495034783,0.96917,-0.02573,0.00127,0.00114,0.04165,0.03583,-0.4792,-0.39331,0.0506,-0.00167,0.91729,0.46398404050367303,0.23076923076923078,0.20430343476696614,0.78071,0.5764065652330339,0.327931175,0.2849539796828373,0.10422356051379568,0.2717079555133434,0.09151059903256357,0.745592,0.41651765847320327,0.745592,0.41651765847320327,0.4606380203171628,0.4467535925864246,0.4606380203171628,0.4467535925864246,480.0,94.0,0.58,9458.0,20.09321403503418,18.1226749420166,46187.73250579834,3.8834565982024043,4.707061788875187,1.63853867415094
2012-06-30,2012-07-24,0.3325,0.37,-0.0375,-10.1351,0.44,-0.07,-0.15909090909090912,2012-07-23,0.23478455725536937,0.2511241859275783,0.97805,-0.01928,0.00115,0.00106,0.03312,0.02967,-0.30088,-0.26051,0.05549,-0.00131,0.72218,0.48739544274463065,-0.10135135135135134,0.453305959496327,0.91729,0.46398404050367303,0.2672066,0.28671542184031706,0.10304539843397348,0.2670925307310967,0.08572219131202183,0.6948620000000001,0.39642740819726385,0.7416900000000001,0.37266730669593223,0.40814657815968297,0.41882251254141056,0.46509759072174073,0.39973784484367,520.0,84.75,0.32,8507.0,21.692142486572266,17.586511611938477,50241.34883880615,4.905883253650659,3.921696533786808,3.3307555079135582
2012-09-30,2012-10-25,0.31,0.3125,-0.0025,-0.8,0.3325,-0.020000000000000018,-0.060150375939849676,2012-10-24,0.4202793651977029,0.41252644400819793,1.0,-0.00927,0.0,0.00055,0.0,0.01139,-0.00242,-0.28337,0.02849,-0.00032,0.01976,-0.4005193651977029,-0.008,0.23478455725536937,0.72218,0.48739544274463065,0.006175,0.32636122548372254,0.10985470276640416,0.2841132901162752,0.09506373426996902,0.49193999999999993,0.43681492013208534,0.6385571428571428,0.43610641452571663,0.16557877451627753,0.4738243938234568,0.34143802559039166,0.49010247585534483,520.0,98.5,0.18,9868.0,22.14285659790039,18.230669021606445,50176.933097839355,4.084812839262197,4.456516238711357,3.086157618230129
2012-12-31,2013-01-23,0.4925,0.48,0.0125,2.6042,0.31,0.16999999999999998,0.5483870967741935,2013-01-22,0.3394382053515382,0.34180703511483185,0.99764,-0.00059,0.00011,4e-05,0.00337,0.00095,-0.08347,-0.02017,0.02867,-3e-05,1.46362,1.1241817946484618,0.026041666666666668,0.4202793651977029,0.01976,-0.4005193651977029,0.7025376,0.3304223044135807,0.10989599457147828,0.2896457816398015,0.0913185329906138,0.7807120000000001,0.5165972386395421,0.74169,0.49810647989590107,0.4502896955864193,0.5466892296942909,0.4392809967226504,0.5314810106857148,350.0,155.45,0.02,15547.0,18.171785354614258,13.337635040283203,33666.23649597168,1.1654490574369125,8.555571011107194,4.909674055710197
