fiscalDateEnding,reportedDate,reportedEPS,estimatedEPS,surprise,surprisePercentage,prev_quarter_EPS,estimatedEPS_change,estimatedEPS_pct_change,as_of,garch_vol,e_garch_vol,call_delta,put_delta,call_gamma,put_gamma,call_vega,put_vega,call_theta,put_theta,call_rho,put_rho,atm_iv,iv_garch_spread,surprise_norm,garch_vol_lag1,atm_iv_lag1,iv_garch_spread_lag1,atm_iv estimatedEPS,garch_vol_roll5_mean,garch_vol_roll5_std,garch_vol_roll10_mean,garch_vol_roll10_std,atm_iv_roll5_mean,atm_iv_roll5_std,atm_iv_roll10_mean,atm_iv_roll10_std,iv_garch_spread_roll5_mean,iv_garch_spread_roll5_std,iv_garch_spread_roll10_mean,iv_garch_spread_roll10_std,strike,call_ask,put_ask,straddle_cost,underlying,underlying_t1,abs_move,return,breakeven_pct,realized_vol
2008-03-31,2008-04-24,0.47,0.44,0.03,6.8182,,,,2008-04-23,0.3059583560743006,1.0604633785076855e-13,1.0,-0.0078,0.0,0.00592,0.0,0.00173,-0.00143,-0.0016,0.01576,-0.00017,0.01976,-0.2861983560743006,0.06818181818181818,,,,0.0086944,,,,,,,,,,,,,24.0,7.55,0.03,758.0,31.6299991607666,21.357271194458008,264.2728805541992,-0.6513550388467029,0.2396459121441307,6.23413763937612
2008-06-30,2008-07-17,0.46,0.47,-0.01,-2.1277,0.47,0.0,0.0,2008-07-16,0.3297088944971846,7.5130661604766775e-62,1.0,-0.00817,0.0,0.00617,0.0,0.00055,-0.00107,-0.01344,0.00164,-2e-05,0.01976,-0.3099488944971846,-0.021276595744680854,0.3059583560743006,0.01976,-0.2861983560743006,0.009287199999999999,,,,,,,,,,,,,20.0,7.3,0.02,731.9999999999999,27.579999923706055,18.58793830871582,141.20616912841797,-0.8070953973655491,0.26540971792056395,6.263731203894502
2008-09-30,2008-10-23,0.48,0.47,0.01,2.1277,0.46,0.009999999999999953,0.021739130434782507,2008-10-22,0.9744826067109009,0.9074251202873674,1.0,-0.00932,0.0,0.00731,0.0,0.00157,-0.00033,-0.00138,0.01273,-0.00018,0.01976,-0.9547226067109009,0.021276595744680854,0.3297088944971846,0.01976,-0.3099488944971846,0.009287199999999999,0.5367166190941287,0.3793024083161221,,,0.01976,0.0,,,-0.5169566190941287,0.3793024083161221,,,15.0,6.85,0.3,715.0,21.549999237060547,15.161225318908691,16.12253189086914,-0.9774510043484348,0.33178655466974727,5.582025881111064
2008-12-31,2009-01-22,0.47,0.49,-0.02,-4.0816,0.48,0.010000000000000009,0.020833333333333353,2009-01-21,0.5872031819140382,0.5960410442736264,1.0,-0.01371,0.0,0.01513,0.0,0.00198,-9e-05,-0.00131,0.01274,-0.00024,0.01976,-0.5674431819140382,-0.04081632653061225,0.9744826067109009,0.01976,-0.9547226067109009,0.009682399999999999,0.5493382597991061,0.3107261944101521,,,0.01976,0.0,,,-0.5295782597991061,0.3107261944101521,,,15.0,4.5,0.13,463.0,18.049999237060547,12.697620391845703,230.2379608154297,-0.5027257865757458,0.25650970613304014,5.583557118838631
2009-03-31,2009-04-23,0.39,0.39,0.0,0.0,0.47,-0.07999999999999996,-0.17021276595744672,2009-04-22,0.4730479292314796,0.49036129621964636,1.0,-0.0101,0.0,0.011,0.0,0.00129,-6e-05,-0.00137,0.0092,-0.00013,0.01976,-0.4532879292314796,0.0,0.5872031819140382,0.01976,-0.5674431819140382,0.0077064,0.5340801936855808,0.27125102548577634,0.5340801936855808,0.27125102548577634,0.01976,0.0,0.01976,0.0,-0.5143201936855808,0.27125102548577634,-0.5143201936855808,0.27125102548577634,14.0,4.8,0.03,483.0,18.920000076293945,15.198769569396973,119.87695693969727,-0.7518075425679146,0.2552854112327309,3.476598063071828
2009-06-30,2009-07-23,0.36,0.36,0.0,0.0,0.39,-0.030000000000000027,-0.07692307692307698,2009-07-22,0.33993364066068166,0.30299433577478996,1.0,-0.011,0.0,0.00977,0.0,0.00209,-7e-05,-0.00138,0.01614,-0.00024,0.01976,-0.32017364066068166,0.0,0.4730479292314796,0.01976,-0.4532879292314796,0.0071135999999999994,0.540875250602857,0.2644479734144784,0.5017224348480976,0.25523291794667974,0.01976,0.0,0.01976,0.0,-0.521115250602857,0.2644479734144784,-0.4819624348480976,0.25523291794667974,19.0,5.85,0.03,588.0,24.93000030517578,18.3978271484375,60.21728515625,-0.8975896510948129,0.2358604062583681,4.823300023011294
2009-09-30,2009-10-23,0.4,0.32,0.08,25.0,0.36,-0.03999999999999998,-0.11111111111111106,2009-10-22,0.2393305132676416,0.22911598197201138,1.0,-0.00877,0.0,0.00726,0.0,0.00181,-6e-05,-0.0013,0.01644,-0.0002,0.01976,-0.2195705132676416,0.25,0.33993364066068166,0.01976,-0.32017364066068166,0.0063232,0.5227995743569485,0.28479609849723214,0.4642378746223182,0.2532235793198461,0.01976,0.0,0.01976,0.0,-0.5030395743569483,0.28479609849723214,-0.4444778746223182,0.2532235793198461,20.0,6.65,0.02,667.0,29.200000762939453,22.4539737701416,245.39737701416016,-0.632087890533493,0.2284246515659528,4.170251178920234
2009-12-31,2010-01-28,0.74,0.59,0.15,25.4237,0.4,0.18999999999999995,0.47499999999999987,2010-01-27,0.18229511906633664,0.273371798321127,1.0,-0.01021,0.0,0.01217,0.0,0.00206,-8e-05,-0.00126,0.01644,-0.0002,0.01976,-0.16253511906633664,0.2542372881355932,0.2393305132676416,0.01976,-0.2195705132676416,0.0116584,0.3643620768280355,0.16646980966315925,0.4289950301778205,0.254751514638849,0.01976,0.0,0.01976,0.0,-0.34460207682803556,0.16646980966315925,-0.4092350301778205,0.254751514638849,25.0,4.75,0.07,482.0,29.84000015258789,21.647274017333984,335.27259826660156,-0.3044136965423204,0.16152814930806836,5.095244684965037
2010-03-31,2010-04-22,0.45,0.42,0.03,7.1429,0.74,-0.32,-0.43243243243243246,2010-04-21,0.1455172762149044,0.04685275448501267,1.0,-0.00857,0.0,0.00768,0.0,0.00213,-0.00014,-0.00114,0.02123,-0.00024,0.01976,-0.1257572762149044,0.07142857142857142,0.18229511906633664,0.01976,-0.16253511906633664,0.0082992,0.27602489568820876,0.13235028418740866,0.39749750195971867,0.25634915835455807,0.01976,0.0,0.01976,0.0,-0.25626489568820876,0.13235028418740866,-0.37773750195971867,0.25634915835455807,25.0,6.4,0.01,641.0,31.040000915527344,19.883045196533203,511.6954803466797,-0.20172311958396305,0.20650772586780058,7.070654332129681
2010-06-30,2010-07-22,0.51,0.46,0.05,10.8696,0.45,0.010000000000000009,0.02222222222222224,2010-07-21,0.2590342053877365,0.28092083161683823,1.0,-0.01149,0.0,0.01168,0.0,0.00056,-0.0001,-0.01938,0.0011,-2e-05,0.01976,-0.23927420538773653,0.10869565217391304,0.1455172762149044,0.01976,-0.1257572762149044,0.0090896,0.23322215091946016,0.07479409052450592,0.3836511723025205,0.24562256591059584,0.01976,0.0,0.01976,0.0,-0.21346215091946016,0.07479409052450592,-0.3638911723025205,0.2456225659105958,20.0,5.15,0.01,516.0,25.510000228881836,19.534883499145508,46.51165008544922,-0.9098611432452535,0.20227361637409813,4.23641048922998
