contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho,as_of,strike_diff
AAPL250502C00210000,AAPL,2025-05-02,210.0,call,6.20,6.22,6.05,5,6.40,6,9969,10385,2025-04-30,0.78071,0.59397,0.03158,-1.20490,0.06100,0.00657,2025-04-30,0.0
AAPL250502P00210000,AAPL,2025-05-02,210.0,put,3.85,3.78,3.70,6,3.85,1,13246,6216,2025-04-30,0.80022,-0.40772,0.03084,-1.21095,0.06107,-0.00496,2025-04-30,0.0
AAPL250131C00240000,AAPL,2025-01-31,240.0,call,4.95,4.92,4.85,14,5.00,207,23739,23556,2025-01-29,0.74169,0.49327,0.03035,-1.32390,0.07068,0.00620,2025-01-29,0.0
AAPL250131P00240000,AAPL,2025-01-31,240.0,put,5.55,5.50,5.45,32,5.55,6,4115,9392,2025-01-29,0.74169,-0.50673,0.03035,-1.29543,0.07068,-0.00695,2025-01-29,0.0
AAPL241101C00230000,AAPL,2024-11-01,230.0,call,4.35,4.45,4.25,10,4.65,9,9198,7679,2024-10-30,0.64413,0.51536,0.03634,-1.10852,0.06790,0.00625,2024-10-30,0.0
AAPL241101P00230000,AAPL,2024-11-01,230.0,put,4.26,4.22,4.05,40,4.40,21,12329,15862,2024-10-30,0.62462,-0.48475,0.03747,-1.04500,0.06790,-0.00634,2024-10-30,0.0
AAPL240802C00220000,AAPL,2024-08-02,220.0,call,5.90,5.75,5.60,92,5.90,34,9705,24654,2024-07-31,0.70267,0.58416,0.03377,-1.14444,0.06412,0.00679,2024-07-31,0.0
AAPL240802P00220000,AAPL,2024-08-02,220.0,put,3.45,3.55,3.45,36,3.65,1,10750,8787,2024-07-31,0.70267,-0.41584,0.03377,-1.11233,0.06412,-0.00526,2024-07-31,0.0
AAPL240503C00167500,AAPL,2024-05-03,167.5,call,4.45,4.45,4.40,1,4.50,31,2798,5703,2024-05-01,0.70267,0.59372,0.04405,-0.86794,0.04861,0.00526,2024-05-01,0.0
AAPL240503P00167500,AAPL,2024-05-03,167.5,put,2.43,2.46,2.42,119,2.50,4,11765,10294,2024-05-01,0.66364,-0.40203,0.04651,-0.79405,0.04848,-0.00386,2024-05-01,0.0
