contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho,as_of,strike_diff
ETSY250502C00046000,ETSY,2025-05-02,46.0,call,2.65,2.64,2.51,17,2.78,16,53,400,2025-04-28,1.40509,0.52353,0.05901,-0.33849,0.01913,0.00234,2025-04-28,0.0
ETSY250502P00046000,ETSY,2025-05-02,46.0,put,2.90,2.78,2.68,11,2.87,29,62,179,2025-04-28,1.42460,-0.47598,0.05820,-0.33767,0.01913,-0.00270,2025-04-28,0.0
ETSY250221C00057000,ETSY,2025-02-21,57.0,call,3.68,3.65,3.55,1,3.75,1,1667,543,2025-02-18,1.69776,0.54468,0.04496,-0.58590,0.02059,0.00226,2025-02-18,0.0
ETSY250221P00057000,ETSY,2025-02-21,57.0,put,3.27,3.27,3.15,14,3.40,11,1492,313,2025-02-18,1.65874,-0.45569,0.04602,-0.56581,0.02059,-0.00241,2025-02-18,0.0
ETSY241101C00047000,ETSY,2024-11-01,47.0,call,2.88,2.88,2.83,11,2.94,10,207,3,2024-10-29,1.54167,0.55781,0.05948,-0.43972,0.01699,0.00194,2024-10-29,0.0
ETSY241101P00047000,ETSY,2024-11-01,47.0,put,2.43,2.45,2.33,11,2.57,39,161,183,2024-10-29,1.58069,-0.44223,0.05802,-0.44455,0.01699,-0.00193,2024-10-29,0.0
ETSY240802C00065000,ETSY,2024-08-02,65.0,call,3.75,3.72,3.65,10,3.80,21,27,726,2024-07-30,1.67825,0.51206,0.04062,-0.65670,0.02332,0.00241,2024-07-30,0.0
ETSY240802P00065000,ETSY,2024-08-02,65.0,put,4.10,4.17,4.10,5,4.25,17,25,20,2024-07-30,1.67825,-0.48794,0.04062,-0.64721,0.02332,-0.00293,2024-07-30,0.0
ETSY240503C00069000,ETSY,2024-05-03,69.0,call,3.77,3.62,3.55,39,3.70,40,27,235,2024-04-30,1.52216,0.51493,0.04207,-0.63428,0.02482,0.00261,2024-04-30,0.0
ETSY240503P00069000,ETSY,2024-05-03,69.0,put,3.86,3.92,3.85,36,4.00,30,13,109,2024-04-30,1.52216,-0.48507,0.04207,-0.62421,0.02482,-0.00306,2024-04-30,0.0
ETSY240223C00076000,ETSY,2024-02-23,76.0,call,3.95,3.92,3.90,20,3.95,17,226,422,2024-02-20,1.44411,0.52222,0.04010,-0.66465,0.02740,0.00293,2024-02-20,0.0
ETSY240223P00076000,ETSY,2024-02-23,76.0,put,4.00,4.03,3.95,32,4.10,41,152,299,2024-02-20,1.44411,-0.47778,0.04010,-0.65355,0.02740,-0.00331,2024-02-20,0.0
ETSY231103C00062000,ETSY,2023-11-03,62.0,call,3.89,3.85,3.80,19,3.90,47,9,250,2023-10-31,1.63923,0.54369,0.04283,-0.61629,0.02240,0.00247,2023-10-31,0.0
ETSY231103P00062000,ETSY,2023-11-03,62.0,put,3.45,3.50,3.45,37,3.55,117,15,247,2023-10-31,1.63923,-0.45631,0.04283,-0.60724,0.02240,-0.00263,2023-10-31,0.0
ETSY230804C00099000,ETSY,2023-08-04,99.0,call,4.98,4.92,4.85,16,5.00,11,96,204,2023-08-01,1.42460,0.51461,0.03131,-0.85285,0.03564,0.00377,2023-08-01,0.0
ETSY230804P00099000,ETSY,2023-08-04,99.0,put,5.35,5.28,5.20,11,5.35,21,27,107,2023-08-01,1.42460,-0.48539,0.03131,-0.83840,0.03564,-0.00437,2023-08-01,0.0
ETSY230505C00099000,ETSY,2023-05-05,99.0,call,5.70,5.45,5.35,30,5.55,1,88,155,2023-05-02,1.48313,0.53365,0.02981,-0.88992,0.03575,0.00390,2023-05-02,0.0
ETSY230505P00099000,ETSY,2023-05-05,99.0,put,5.10,5.20,5.05,62,5.35,20,11,114,2023-05-02,1.48313,-0.46635,0.02981,-0.87683,0.03575,-0.00423,2023-05-02,0.0
ETSY230224C00125000,ETSY,2023-02-24,125.0,call,6.95,7.03,6.95,10,7.10,3,54,33,2023-02-21,1.56118,0.52578,0.02253,-1.17980,0.04506,0.00482,2023-02-21,0.0
ETSY230224P00125000,ETSY,2023-02-24,125.0,put,7.17,7.10,7.05,9,7.15,7,104,104,2023-02-21,1.56118,-0.47422,0.02253,-1.16412,0.04506,-0.00545,2023-02-21,0.0
ETSY221104C00091000,ETSY,2022-11-04,91.0,call,6.60,6.12,6.05,4,6.20,11,1,6,2022-11-01,1.79532,0.54455,0.02664,-0.98698,0.03286,0.00359,2022-11-01,0.0
ETSY221104P00091000,ETSY,2022-11-04,91.0,put,5.45,5.58,5.50,32,5.65,7,109,46,2022-11-01,1.75630,-0.45588,0.02724,-0.95805,0.03287,-0.00388,2022-11-01,0.0
ETSY220729C00093000,ETSY,2022-07-29,93.0,call,7.84,7.90,7.75,20,8.05,53,163,89,2022-07-26,2.30263,0.54793,0.02033,-1.28754,0.03350,0.00355,2022-07-26,0.0
ETSY220729P00093000,ETSY,2022-07-29,93.0,put,7.60,7.60,7.40,33,7.80,30,117,27,2022-07-26,2.30263,-0.45207,0.02033,-1.28351,0.03350,-0.00409,2022-07-26,0.0
ETSY220506C00101000,ETSY,2022-05-06,101.0,call,7.97,7.88,7.70,8,8.05,7,75,177,2022-05-03,2.22458,0.53103,0.01962,-1.34442,0.03625,0.00374,2022-05-03,0.0
