contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho,as_of,strike_diff
MSFT250502C00395000,MSFT,2025-05-02,395.0,call,8.55,8.80,8.70,7,8.90,31,3879,3379,2025-04-29,0.64413,0.49746,0.01734,-1.55217,0.14251,0.01539,2025-04-29,0.0
MSFT250502P00395000,MSFT,2025-05-02,395.0,put,9.49,9.55,9.45,54,9.65,10,1144,636,2025-04-29,0.64413,-0.50254,0.01734,-1.50532,0.14251,-0.01707,2025-04-29,0.0
MSFT250131C00445000,MSFT,2025-01-31,445.0,call,11.03,11.02,10.95,1,11.10,5,5221,5143,2025-01-28,0.60511,0.54927,0.01614,-1.64658,0.16051,0.01929,2025-01-28,0.0
MSFT250131P00445000,MSFT,2025-01-31,445.0,put,8.60,8.62,8.50,12,8.75,6,2612,1927,2025-01-28,0.60511,-0.45073,0.01614,-1.59381,0.16051,-0.01728,2025-01-28,0.0
MSFT241101C00430000,MSFT,2024-11-01,430.0,call,11.15,11.20,11.00,5,11.40,2,3661,7298,2024-10-29,0.64413,0.54517,0.01571,-1.69611,0.15522,0.01844,2024-10-29,0.0
MSFT241101P00430000,MSFT,2024-11-01,430.0,put,8.89,8.85,8.70,1,9.00,2,1354,1557,2024-10-29,0.62462,-0.45413,0.01620,-1.58851,0.15519,-0.01684,2024-10-29,0.0
MSFT240802C00425000,MSFT,2024-08-02,425.0,call,12.01,11.90,11.80,22,12.00,16,3087,2917,2024-07-29,0.60511,0.54182,0.01468,-1.37263,0.17724,0.02405,2024-07-29,0.0
MSFT240802P00425000,MSFT,2024-08-02,425.0,put,9.76,9.77,9.70,1,9.85,10,3445,6442,2024-07-29,0.60511,-0.45818,0.01468,-1.31060,0.17724,-0.02250,2024-07-29,0.0
MSFT240426C00405000,MSFT,2024-04-26,405.0,call,11.80,11.60,11.45,3,11.75,20,1937,2494,2024-04-24,0.78071,0.58182,0.01652,-2.34104,0.11825,0.01240,2024-04-24,0.0
MSFT240426P00405000,MSFT,2024-04-26,405.0,put,7.20,7.38,7.25,46,7.50,33,555,3015,2024-04-24,0.78071,-0.41818,0.01652,-2.28192,0.11825,-0.00978,2024-04-24,0.0
MSFT240202C00405000,MSFT,2024-02-02,405.0,call,12.00,12.02,11.95,11,12.10,8,7376,5938,2024-01-29,0.54657,0.59535,0.01653,-1.16938,0.16620,0.02542,2024-01-29,0.0
MSFT240202P00405000,MSFT,2024-02-02,405.0,put,6.90,6.92,6.85,26,7.00,46,3268,1967,2024-01-29,0.54657,-0.40465,0.01653,-1.11028,0.16620,-0.01894,2024-01-29,0.0
MSFT231027C00325000,MSFT,2023-10-27,325.0,call,10.00,9.98,9.80,6,10.15,16,2188,9364,2023-10-23,0.54657,0.60627,0.02042,-0.93383,0.13263,0.02079,2023-10-23,0.0
MSFT231027P00325000,MSFT,2023-10-27,325.0,put,5.35,5.40,5.30,22,5.50,1,3701,2922,2023-10-23,0.54657,-0.39373,0.02042,-0.88639,0.13263,-0.01480,2023-10-23,0.0
MSFT230728C00340000,MSFT,2023-07-28,340.0,call,12.30,12.38,12.25,12,12.50,27,1772,3943,2023-07-24,0.66364,0.60159,0.01610,-1.18382,0.13943,0.02140,2023-07-24,0.0
MSFT230728P00340000,MSFT,2023-07-28,340.0,put,7.02,6.90,6.80,48,7.00,30,3460,3732,2023-07-24,0.64413,-0.39620,0.01656,-1.10099,0.13922,-0.01573,2023-07-24,0.0
MSFT230428C00275000,MSFT,2023-04-28,275.0,call,10.15,10.23,10.05,113,10.40,7,618,1119,2023-04-24,0.52706,0.68366,0.02289,-0.71574,0.10497,0.01999,2023-04-24,0.0
MSFT230428P00275000,MSFT,2023-04-28,275.0,put,3.15,3.10,3.05,429,3.15,20,7835,6802,2023-04-24,0.50755,-0.31056,0.02358,-0.64875,0.10415,-0.00993,2023-04-24,0.0
MSFT230127C00240000,MSFT,2023-01-27,240.0,call,7.51,7.70,7.35,110,8.05,80,3623,5928,2023-01-23,0.62462,0.58062,0.02464,-0.79058,0.09923,0.01459,2023-01-23,0.0
MSFT230127P00240000,MSFT,2023-01-27,240.0,put,4.70,4.72,4.65,39,4.80,55,6976,4341,2023-01-23,0.58560,-0.41574,0.02623,-0.71246,0.09904,-0.01156,2023-01-23,0.0
MSFT221028C00240000,MSFT,2022-10-28,240.0,call,10.97,11.20,10.75,54,11.65,53,2162,2789,2022-10-24,0.68315,0.67603,0.02033,-0.80764,0.09304,0.01709,2022-10-24,0.0
MSFT221028P00240000,MSFT,2022-10-28,240.0,put,3.65,3.65,3.60,7,3.70,4,5519,2637,2022-10-24,0.66364,-0.31990,0.02082,-0.76076,0.09255,-0.00907,2022-10-24,0.0
MSFT220729C00250000,MSFT,2022-07-29,250.0,call,12.11,12.03,11.90,16,12.15,13,567,940,2022-07-25,0.62462,0.71436,0.02008,-0.72648,0.09209,0.01895,2022-07-25,0.0
MSFT220729P00250000,MSFT,2022-07-29,250.0,put,3.15,3.12,3.10,13,3.15,1,5258,5055,2022-07-25,0.62462,-0.28564,0.02008,-0.71566,0.09209,-0.00844,2022-07-25,0.0
MSFT220429C00275000,MSFT,2022-04-29,275.0,call,11.80,11.82,11.55,35,12.10,13,4617,482,2022-04-25,0.74169,0.61960,0.01747,-1.03917,0.11193,0.01777,2022-04-25,0.0
MSFT220429P00275000,MSFT,2022-04-29,275.0,put,6.00,6.00,5.80,32,6.20,4,3255,3270,2022-04-25,0.74169,-0.38040,0.01747,-1.03669,0.11193,-0.01236,2022-04-25,0.0
MSFT220128C00290000,MSFT,2022-01-28,290.0,call,13.46,13.10,12.70,30,13.50,1,10978,609,2022-01-24,0.78071,0.62051,0.01571,-1.15273,0.11808,0.01872,2022-01-24,0.0
MSFT220128P00290000,MSFT,2022-01-28,290.0,put,6.70,6.62,6.10,10,7.15,20,8552,3401,2022-01-24,0.78071,-0.37949,0.01571,-1.15210,0.11808,-0.01306,2022-01-24,0.0
MSFT211029C00300000,MSFT,2021-10-29,300.0,call,9.57,9.88,9.75,7,10.00,2,1367,3966,2021-10-25,0.37097,0.76059,0.02594,-0.46487,0.10014,0.02460,2021-10-25,0.0
MSFT211029P00300000,MSFT,2021-10-29,300.0,put,1.58,1.57,1.49,17,1.66,7,3489,4250,2021-10-25,0.35146,-0.22801,0.02665,-0.42805,0.09747,-0.00787,2021-10-25,0.0
MSFT210730C00280000,MSFT,2021-07-30,280.0,call,10.37,10.48,10.40,8,10.55,34,2331,5122,2021-07-26,0.39048,0.78782,0.02454,-0.42883,0.08774,0.02380,2021-07-26,0.0
MSFT210730P00280000,MSFT,2021-07-30,280.0,put,1.36,1.34,1.31,14,1.37,41,3336,3871,2021-07-26,0.37097,-0.20079,0.02500,-0.39359,0.08491,-0.00650,2021-07-26,0.0
MSFT210430C00250000,MSFT,2021-04-30,250.0,call,12.12,12.32,11.70,29,12.95,22,410,6753,2021-04-26,0.40999,0.85858,0.01996,-0.31488,0.06136,0.02325,2021-04-26,0.0
MSFT210430P00250000,MSFT,2021-04-30,250.0,put,0.85,0.91,0.82,1,1.00,11,3505,4298,2021-04-26,0.42950,-0.15218,0.02002,-0.34596,0.06445,-0.00447,2021-04-26,0.0
MSFT210129C00220000,MSFT,2021-01-29,220.0,call,11.00,10.85,10.50,1,11.20,1,3468,6291,2021-01-25,0.48804,0.80393,0.02359,-0.40587,0.06647,0.01903,2021-01-25,0.0
MSFT210129P00220000,MSFT,2021-01-29,220.0,put,1.46,1.54,1.48,1,1.59,20,5938,5498,2021-01-25,0.52706,-0.21292,0.02294,-0.45983,0.06981,-0.00553,2021-01-25,0.0
MSFT201030C00200000,MSFT,2020-10-30,200.0,call,11.45,11.57,11.35,20,11.80,9,1722,990,2020-10-26,0.58560,0.79755,0.02190,-0.45437,0.06202,0.01709,2020-10-26,0.0
MSFT201030P00200000,MSFT,2020-10-30,200.0,put,1.44,1.40,1.30,10,1.50,1,9146,5468,2020-10-26,0.56608,-0.19502,0.02215,-0.42898,0.06064,-0.00464,2020-10-26,0.0
MSFT200724C00200000,MSFT,2020-07-24,200.0,call,10.90,10.82,10.65,10,11.00,1,2349,3547,2020-07-21,0.72218,0.75392,0.02306,-0.71818,0.05963,0.01205,2020-07-21,0.0
MSFT200724P00200000,MSFT,2020-07-24,200.0,put,1.98,1.89,1.76,7,2.02,1,8088,7032,2020-07-21,0.68315,-0.23500,0.02377,-0.66204,0.05816,-0.00418,2020-07-21,0.0
MSFT200501C00162500,MSFT,2020-05-01,162.5,call,8.50,8.43,8.05,130,8.80,30,252,1768,2020-04-28,0.60511,0.79661,0.03036,-0.43920,0.04354,0.01043,2020-04-28,0.0
MSFT200501P00162500,MSFT,2020-05-01,162.5,put,1.20,1.23,1.16,8,1.30,2,3414,6056,2020-04-28,0.64413,-0.21688,0.02961,-0.48532,0.04521,-0.00313,2020-04-28,0.0
MSFT200131C00157500,MSFT,2020-01-31,157.5,call,8.80,8.90,8.45,31,9.35,69,311,3421,2020-01-28,0.60511,0.82342,0.02856,-0.39760,0.03889,0.01047,2020-01-28,0.0
MSFT200131P00157500,MSFT,2020-01-31,157.5,put,0.67,0.64,0.60,3,0.67,20,1551,3625,2020-01-28,0.54657,-0.15331,0.02885,-0.32216,0.03549,-0.00214,2020-01-28,0.0
MSFT191025C00129000,MSFT,2019-10-25,129.0,call,7.83,7.53,7.00,1,8.05,31,85,75,2019-10-22,0.40999,0.93542,0.02489,-0.11266,0.01560,0.00987,2019-10-22,0.0
MSFT191025P00129000,MSFT,2019-10-25,129.0,put,0.36,0.36,0.33,1,0.39,4,1217,1768,2019-10-22,0.52706,-0.11706,0.03017,-0.21265,0.02430,-0.00134,2019-10-22,0.0
MSFT190719C00129000,MSFT,2019-07-19,129.0,call,8.30,7.65,7.55,8,7.75,10,57,279,2019-07-17,0.62462,0.88720,0.03039,-0.30905,0.01931,0.00621,2019-07-17,0.0
MSFT190719P00129000,MSFT,2019-07-19,129.0,put,0.29,0.32,0.31,1,0.33,30,1485,1478,2019-07-17,0.60511,-0.10577,0.02995,-0.27797,0.01844,-0.00081,2019-07-17,0.0
MSFT190426C00118000,MSFT,2019-04-26,118.0,call,7.66,7.75,7.55,165,7.95,121,125,1022,2019-04-23,0.52706,0.90451,0.02831,-0.17656,0.01929,0.00869,2019-04-23,0.0
MSFT190426P00118000,MSFT,2019-04-26,118.0,put,0.26,0.26,0.23,48,0.28,113,4160,1818,2019-04-23,0.52706,-0.09549,0.02831,-0.16867,0.01929,-0.00101,2019-04-23,0.0
MSFT190201C00097000,MSFT,2019-02-01,97.0,call,6.50,6.47,6.35,114,6.60,48,10,44,2019-01-29,0.66364,0.84643,0.03824,-0.24978,0.02210,0.00663,2019-01-29,0.0
MSFT190201P00097000,MSFT,2019-02-01,97.0,put,0.52,0.51,0.48,141,0.53,61,4273,692,2019-01-29,0.66364,-0.15357,0.03824,-0.24340,0.02210,-0.00134,2019-01-29,0.0
MSFT181026C00101000,MSFT,2018-10-26,101.0,call,8.16,7.82,7.65,15,7.98,9,56,105,2018-10-23,0.80022,0.83527,0.03162,-0.32909,0.02430,0.00678,2018-10-23,0.0
MSFT181026P00101000,MSFT,2018-10-26,101.0,put,0.65,0.61,0.58,35,0.64,46,1952,260,2018-10-23,0.76120,-0.15349,0.03174,-0.29333,0.02320,-0.00141,2018-10-23,0.0
MSFT180720C00098000,MSFT,2018-07-20,98.0,call,7.45,7.28,7.20,51,7.35,85,22,1093,2018-07-18,0.64413,0.93280,0.02596,-0.16778,0.01012,0.00497,2018-07-18,0.0
MSFT180720P00098000,MSFT,2018-07-20,98.0,put,0.14,0.14,0.12,40,0.15,57,333,4915,2018-07-18,0.62462,-0.06150,0.02499,-0.14723,0.00945,-0.00036,2018-07-18,0.0
MSFT180427C00086000,MSFT,2018-04-27,86.0,call,6.45,6.35,4.80,47,7.90,25,14,125,2018-04-25,0.48804,0.97618,0.01683,-0.05069,0.00383,0.00459,2018-04-25,0.0
MSFT180427P00086000,MSFT,2018-04-27,86.0,put,0.24,0.23,0.21,57,0.25,8,1223,944,2018-04-25,0.74169,-0.09362,0.03299,-0.21143,0.01142,-0.00049,2018-04-25,0.0
MSFT180202C00086000,MSFT,2018-02-02,86.0,call,7.00,7.00,6.75,24,7.25,113,25,908,2018-01-30,0.64413,0.90713,0.03069,-0.15303,0.01398,0.00634,2018-01-30,0.0
MSFT180202P00086000,MSFT,2018-02-02,86.0,put,0.26,0.26,0.24,61,0.28,30,200,2101,2018-01-30,0.66364,-0.09920,0.03127,-0.16189,0.01467,-0.00078,2018-01-30,0.0
MSFT171027C00072000,MSFT,2017-10-27,72.0,call,3.48,6.70,6.65,5,6.75,10,0,70,2017-10-25,0.68315,0.96151,0.02101,-0.08522,0.00486,0.00378,2017-10-25,0.0
MSFT171027P00072000,MSFT,2017-10-27,72.0,put,0.04,0.03,0.02,25,0.04,47,16,892,2017-10-25,0.60511,-0.02327,0.01563,-0.04840,0.00320,-0.00010,2017-10-25,0.0
MSFT170721C00067000,MSFT,2017-07-21,67.0,call,3.08,6.88,6.80,63,6.95,93,0,242,2017-07-19,0.60511,0.98610,0.01072,-0.03143,0.00194,0.00361,2017-07-19,0.0
MSFT170721P00067000,MSFT,2017-07-21,67.0,put,0.03,0.03,0.02,62,0.03,10,46,3946,2017-07-19,0.66364,-0.02221,0.01458,-0.04793,0.00289,-0.00009,2017-07-19,0.0
MSFT170428C00062000,MSFT,2017-04-28,62.0,call,6.00,5.88,5.80,68,5.95,30,43,207,2017-04-26,0.68315,0.96434,0.02287,-0.06877,0.00394,0.00326,2017-04-26,0.0
MSFT170428P00062000,MSFT,2017-04-28,62.0,put,0.04,0.04,0.02,13,0.05,65,161,2109,2017-04-26,0.66364,-0.03180,0.02143,-0.05942,0.00359,-0.00012,2017-04-26,0.0
MSFT170127C00057000,MSFT,2017-01-27,57.0,call,2.81,6.70,6.60,422,6.80,21,0,57,2017-01-25,0.70267,0.98451,0.01175,-0.03325,0.00184,0.00307,2017-01-25,0.0
MSFT170127P00057000,MSFT,2017-01-27,57.0,put,0.04,0.06,0.03,570,0.09,2,490,1083,2017-01-25,0.85876,-0.03789,0.02037,-0.08341,0.00389,-0.00014,2017-01-25,0.0
MSFT161021C00052000,MSFT,2016-10-21,52.0,call,2.44,5.67,5.55,51,5.80,119,0,12,2016-10-19,0.95632,0.92832,0.03358,-0.13976,0.00582,0.00262,2016-10-19,0.0
MSFT161021P00052000,MSFT,2016-10-21,52.0,put,0.08,0.08,0.07,181,0.08,6,716,1297,2016-10-19,0.85876,-0.05240,0.02928,-0.09785,0.00456,-0.00017,2016-10-19,0.0
MSFT160722C00048000,MSFT,2016-07-22,48.0,call,2.99,6.03,5.90,945,6.15,547,0,138,2016-07-18,0.66364,0.95729,0.02424,-0.04308,0.00513,0.00500,2016-07-18,0.0
MSFT160722P00048000,MSFT,2016-07-22,48.0,put,0.04,0.04,0.03,230,0.04,11,778,6945,2016-07-18,0.60511,-0.03005,0.01993,-0.02909,0.00385,-0.00018,2016-07-18,0.0
MSFT160422C00049000,MSFT,2016-04-22,49.0,call,7.12,6.60,6.50,762,6.70,653,300,0,2016-04-20,0.72218,0.99152,0.00776,-0.01763,0.00095,0.00266,2016-04-20,0.0
MSFT160422P00049000,MSFT,2016-04-22,49.0,put,0.04,0.04,0.04,25,0.05,46,986,5436,2016-04-20,0.89778,-0.02666,0.01670,-0.05695,0.00254,-0.00008,2016-04-20,0.0
MSFT160129C00045000,MSFT,2016-01-29,45.0,call,2.60,5.92,5.30,733,6.55,13,0,3,2016-01-27,0.01976,1.00000,0.00000,-0.00047,0.00000,0.00247,2016-01-27,0.0
