contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho,as_of,strike_diff
NFLX250718C01250000,NFLX,2025-07-18,1250.0,call,41.50,41.27,41.00,1,41.55,5,716,2303,2025-07-16,1.11241,0.51877,0.00387,-10.32906,0.36882,0.03327,2025-07-16,0.0
NFLX250718P01250000,NFLX,2025-07-18,1250.0,put,39.71,39.88,39.35,20,40.40,4,507,1213,2025-07-16,1.09290,-0.48148,0.00394,-10.00124,0.36883,-0.03518,2025-07-16,0.0
NFLX250417C00960000,NFLX,2025-04-17,960.0,call,30.40,30.33,29.55,6,31.10,7,1346,479,2025-04-16,1.46362,0.52472,0.00540,-14.72310,0.20042,0.01300,2025-04-16,0.0
NFLX250417P00960000,NFLX,2025-04-17,960.0,put,27.42,28.00,27.20,19,28.80,35,1008,489,2025-04-16,1.44411,-0.47536,0.00548,-14.41391,0.20042,-0.01329,2025-04-16,0.0
NFLX250117C00860000,NFLX,2025-01-17,860.0,call,0.03,0.04,0.01,101,0.08,5,9671,2982,2025-01-17,0.01976,0.02150,0.05802,-0.02503,0.02312,0.00051,2025-01-17,0.0
NFLX250117P00860000,NFLX,2025-01-17,860.0,put,3.00,1.86,0.73,155,2.99,6,4463,1548,2025-01-17,0.03927,-0.84550,0.13482,-0.12338,0.10680,-0.01993,2025-01-17,0.0
NFLX241018C00700000,NFLX,2024-10-18,700.0,call,28.50,28.32,28.15,1,28.50,1,1309,2597,2024-10-16,1.30753,0.53212,0.00585,-6.80025,0.20664,0.01893,2024-10-16,0.0
NFLX241018P00700000,NFLX,2024-10-18,700.0,put,26.00,25.98,25.60,10,26.35,20,1345,3354,2024-10-16,1.30753,-0.46788,0.00585,-6.70765,0.20664,-0.01942,2024-10-16,0.0
NFLX240719C00645000,NFLX,2024-07-19,645.0,call,29.10,29.38,28.65,7,30.10,8,780,351,2024-07-17,1.46362,0.53665,0.00566,-7.01310,0.19039,0.01744,2024-07-17,0.0
NFLX240719P00645000,NFLX,2024-07-19,645.0,put,26.10,26.18,25.85,5,26.50,1,653,866,2024-07-17,1.44411,-0.46343,0.00574,-6.82624,0.19040,-0.01788,2024-07-17,0.0
NFLX240419C00615000,NFLX,2024-04-19,615.0,call,26.75,26.27,25.85,1,26.70,19,906,1036,2024-04-17,1.48313,0.51521,0.00592,-6.75712,0.18110,0.01588,2024-04-17,0.0
NFLX240419P00615000,NFLX,2024-04-19,615.0,put,27.10,27.12,26.80,7,27.45,35,279,1155,2024-04-17,1.46362,-0.48517,0.00600,-6.57925,0.18110,-0.01780,2024-04-17,0.0
NFLX240126C00485000,NFLX,2024-01-26,485.0,call,20.10,20.20,20.05,11,20.35,6,1525,1155,2024-01-22,0.97583,0.52835,0.00802,-2.50258,0.20234,0.02590,2024-01-22,0.0
NFLX240126P00485000,NFLX,2024-01-26,485.0,put,19.05,19.10,18.95,11,19.25,6,659,842,2024-01-22,0.97583,-0.47165,0.00802,-2.43180,0.20234,-0.02722,2024-01-22,0.0
NFLX231020C00355000,NFLX,2023-10-20,355.0,call,15.20,15.55,15.00,25,16.10,9,360,568,2023-10-17,1.17095,0.53041,0.01053,-2.52883,0.12828,0.01424,2023-10-17,0.0
